06-07-2019 01:55:38.202,-,API,"CoordinadorTemporal,0013A2004180A081,ZIGBEE TH Reg,4060,/dev/ttyUSB1 - 9600/8/N/1/N,0,46"
06-07-2019 01:40:48.663,2100,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:50.169,2101,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:50.169,2102,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:50.169,2103,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:50.169,2104,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:50.169,2105,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:50.950,2106,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:53.575,2107,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:55.023,2108,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:56.636,2109,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:40:58.719,2110,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:00.501,2111,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:00.502,2112,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:00.502,2113,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:00.502,2114,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:00.502,2115,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:00.631,2116,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:01.622,2117,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:41:04.174,2118,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:41:06.603,2119,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:41:09.807,2120,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:13.329,2121,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:17.035,2122,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:20.656,2123,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:24.069,2124,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.393,2125,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.394,2126,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:41:26.394,2127,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:41:26.394,2128,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:41:26.394,2129,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.394,2130,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.394,2131,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.394,2132,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.394,2133,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.394,2134,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.394,2135,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.394,2136,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.395,2137,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.395,2138,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.395,2139,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:26.395,2140,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:41:26.395,2141,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:41:26.395,2142,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:41:26.849,2143,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:28.689,2144,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:30.323,2145,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:32.155,2146,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:33.836,2147,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:33.836,2148,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:33.836,2149,RECV,7E0012920013A200416D73AFF951010100010000009B
